climate	nffclass	2030	2050	2090
MRI_rcp26	NN	(0.42, 0.17, 0.77)	NA	(0.75, 0.35, 0.9)
MRI_rcp26	NN & NC	(0.59, 0.06, 0.85)	(0.61, 0.08, 0.89)	NA
MRI_rcp26	NN-NS Pareto	(0.39, 0.29, 0.73)	(0.38, 0.4, 0.7)	(0.62, 0.5, 0.77)
MRI_rcp26	NS	(0.36, 0.41, 0.67)	(0.35, 0.59, 0.59)	(0.51, 0.72, 0.67)
MRI_rcp26	NC	NA	NA	(0.7, 0.13, 0.99)
MRI_rcp26	NN-NC Pareto	NA	NA	(0.71, 0.26, 0.91)
MRI_rcp85	NN	(0.41, 0.16, 0.77)	NA	(0.82, 0.23, 0.89)
MRI_rcp85	NN & NC	(0.58, 0.06, 0.84)	(0.6, 0.08, 0.87)	NA
MRI_rcp85	NN-NS Pareto	(0.38, 0.27, 0.74)	(0.39, 0.31, 0.72)	(0.56, 0.54, 0.74)
MRI_rcp85	NS	(0.35, 0.4, 0.67)	(0.33, 0.57, 0.58)	(0.48, 0.71, 0.66)
MRI_rcp85	NC	NA	NA	(0.71, 0.13, 0.99)
MRI_rcp85	NN-NC Pareto	NA	NA	(0.72, 0.25, 0.9)
MRI_rcp85	NN-NS Pareto & NN-NC Pareto	NA	NA	(0.77, 0.29, 0.89)
